,,,,Puzzle_collection_authorname2_subtitle2,他的音乐诗意又细腻，被誉为“钢琴诗人”。,他的音樂詩意又細膩，被譽為“鋼琴詩人”。,His music is full of poetic sensations,"""Pianista Poeta"" por su refinamiento ",Его музыка полна нежных чувств поэзии.,Sua música é cheia de poesia e emoções ricas.,Seine Werke sind poetisch und einfühlsam.,그의 음악에 시적인 맛이 아주 풍부하다,繊細な感情の表現が得意とする,Sa musique pleine de sensation sublime,La sua musica è piena di emozioni poetiche ,أعماله الموسيقية تمتاز بالشعور الخفيف، وهو يسمى بشاعر البيانو,Şiirsel ve hassas duygusu içindir,Musiknya penuh dengan rasa puisi,,
,,,,Puzzle_collection_authorname3_subtitle1,横跨古典主义和浪漫主义的音乐巨人\r成功结合传统与创新，开创了一个新的时代,橫跨古典主​​義和浪漫主​​義的音樂巨人\r成功結合傳統與創新，開創了一個新的時代,"Beethoven, giant of classicism and romanticism\rHe united tradition and innovation very well","Beethoven, abarca Clasicismo/Romanticismo.\rTradición, creación y expresión individual.","Бетховен, музыкальный гений двух эпох. Он соединил романтизм и классицизм.","Beethoven, pilar do Classicismo e o Romantismo. Ele iniciou uma nova era no mundo musical","Beethoven, Musiker der Klassik u. der Romantik\rEr kombinierte Tradition mit Innovation.","베토벤은 고전주의와 낭만주의 음악의 성인이다. 고전, 혁신을 결합하여, 새로운 시대를 열었다",ベートーヴェン、古典とロマンを横断した巨匠，伝統と革新を融合した時代を切り開いた,"Beethoven, maître classicisme et romanticisme\rIl a uni la tradition et l'innovation, ouvert","Beethoven, gigante musicale classico romantico\rHa integrato insieme tradizione e innovazione",لودفيج فان بيتهوفن، عملاق موسيقي عبر فترة الكلاسيكية والرومانسية كما يجمع بين التقاليد والابتداعات بنجاح ويفتح عصرا جديدا,"Beethoven klasikçiliğin döneminin müzik devisi. Başarıyla gelenek, yenilik birleştirilmiştir","Beethoven musisi masa klasik dan romantis, Ia berhasil gabungkan tradisi dan inovasi",,
,,,,Puzzle_collection_authorname3_subtitle2,成功结合传统与创新，开创了一个新的时代,成功結合傳統與創新，開創了一個新的時代,He united tradition and innovation very well,"Tradición, creación y expresión individual.",Он соединил романтизм и классицизм.,Ele iniciou uma nova era no mundo musical,Er kombinierte Tradition mit Innovation.,"고전, 혁신을 결합하여, 새로운 시대를 열었다",伝統と革新を融合した時代を切り開いた,"Il a uni la tradition et l'innovation, ouvert",Ha integrato insieme tradizione e innovazione,كما يجمع بين التقاليد والابتداعات بنجاح ويفتح عصرا جديدا,"Başarıyla gelenek, yenilik birleştirilmiştir",Ia berhasil gabungkan tradisi dan inovasi,,
,,,,Puzzle_collection_authorname4_subtitle1,欧洲最伟大的古典主义音乐作曲家之一\r风格兼具旋律及艺术性，活泼开朗而悦耳,歐洲最偉大的古典主義音樂作曲家之一\r風格兼具旋律及藝術性，活潑開朗而悅耳,"Mozart, one of the greatest classic composers\rHis music is very vivid and melodic","Mozart, uno de los más grandes del Clasicismo. Con estilo bello y alegre","Моцарт, великий композитор классицизма. Его песни - живые, веселые, мелодичные.","Mozart, um dos grandes pianistas clássicos. Seus ritmos são vivazes, alegres e comoventes","Mozart, großer Komponist der Klassik.\rSeine Werke sind munter und harmonisch.",모차르트는 서양 고전 음악 작곡가이다\r그의 음악은 아주 활발하고 건드러지다,モーツァルト、ヨーロッパで最も有名な作曲家。軽快なる曲のスタイルが有名,"Mozart, un des plus grands de classicisme\rSon style est très dynamique","Mozart, uno dei compositori di musica classica\rIl suo stile composizione è vivace e musicale",فولفغانغ أماديوس موزارت، من أعظم المؤلفين الكلاسيكيين في أوروبا أعماله الموسيقية تتمتع بالألحان والفن,"Mozart, klasik müzik bestecisidir\rEser tarzı hem neşeli ve keyifli","Mozart,salah satu pencipta lagu klasik\rGaya lagunya menyenangkan dan enak",,
,,,,Puzzle_collection_authorname4_subtitle2,风格兼具旋律及艺术性，活泼开朗而悦耳,風格兼具旋律及藝術性，活潑開朗而悅耳,His music is very vivid and melodic,Con estilo bello y alegre,"Его песни - живые, веселые, мелодичные.","Seus ritmos são vivazes, alegres e comoventes",Seine Werke sind munter und harmonisch.,그의 음악은 아주 활발하고 건드러지다,軽快なる曲のスタイルが有名,Son style est très dynamique,Il suo stile composizione è vivace e musicale,أعماله الموسيقية تتمتع بالألحان والفن,Eser tarzı hem neşeli ve keyifli,Gaya lagunya menyenangkan dan enak,,
,,,,Puzzle_collection_contentname3_subtitle1,美妙的钢琴融合各种乐器\r让音乐更好、更有趣,美妙的鋼琴融合各種樂器\r讓音樂更好、更有趣,Beautiful piano with all kinds of instruments\rMakes the music better and more interesting,"Con el bonito piano y diversos instrumentos. Haciendo la música mejor, y más divertida",Прекрасная мелодия и инструменты\rМузыка еще красивей и интересней,Piano lindo com vários instrumentos musicais. Deixe a música melhor e mais divertida,Klavier und Band\rDie Melodie interessanter u. schöner machen,"미묘한 피아노와 다종 악기의 완벽한 조합\r음악을 더 아름답게, 더 재미있게",音楽と楽器のパーフェクトな融合\r音楽をよりよく、より面白く！,Le piano admirable uni de tous les instruments\rRend la musique plus intéressante,Piano integra vari tipi di strumenti musicali\rRende la musica migliore e più interessante,مرافقة البيانو مع الآلات الموسيقية المتنوعة\rجعل الموسيقى أجمل وأفضل,Harika piyano sesiyle diğer müzik aletleri\rMüzik daha eğlenceli ve daha iyi olsun!,Piano indah beriringan beragam alat musik\rMembuat musik lebih indah dan seru,,
,,,,Puzzle_collection_contentname3_subtitle2,让音乐更好、更有趣,讓音樂更好、更有趣,Makes the music better and more interesting,"Haciendo la música mejor, y más divertida",Музыка еще красивей и интересней,Deixe a música melhor e mais divertida,Die Melodie interessanter u. schöner machen,"음악을 더 아름답게, 더 재미있게",音楽をよりよく、より面白く！,Rend la musique plus intéressante,Rende la musica migliore e più interessante,جعل الموسيقى أجمل وأفضل,Müzik daha eğlenceli ve daha iyi olsun!,Membuat musik lebih indah dan seru,,
,,,,Puzzle_collection_contentname2_subtitle1,数十位原创作者的精心之作\r以音乐连接世界，用旋律打动人心,數十位原創作者的精心之作\r以音樂連接世界，用旋律打動人心,Master piece of a dozen of original authors\rUnits the world with music and melody,hecho por decenas de compositores\rConectando el mundo con música,Композиции десятков оригинальных авторов. Объединение мира с помощью музыки,Obras principais dos autores originais\rConeta-se o mundo com a música,Originallieder von mehr als 10 Musikern\rWelt mit Musik verbinden,수십명 창작자들이 정성을 들이며\r음악으로 세계를 연결한다,数十人のオリジナル作者の力作\r音楽で世界をつなげよう！,Chef d'oeuvre d'une dizaine d'auteurs\rLie le monde avec la musique et la mélodie,Opera da impegni di decina autori originali\rCollegare il mondo con la musica,أعمال ممتازة من عشرات المؤلفين الأصليين\rربط العالم بالموسيقى وإعجاب الجماهير بالألحان,Onlarca orijinal yazarın şaheseri\rDünyayı müzikle buluşturun,Karya pilihan puluhan pencipta asli\rGabungkan dunia dengan musik,,
,,,,Puzzle_collection_contentname2_subtitle2,以音乐连接世界，用旋律打动人心,以音樂連接世界，用旋律打動人心,Units the world with music and melody,Conectando el mundo con música,Объединение мира с помощью музыки,Coneta-se o mundo com a música,Welt mit Musik verbinden,음악으로 세계를 연결한다,音楽で世界をつなげよう！,Lie le monde avec la musique et la mélodie,Collegare il mondo con la musica ,ربط العالم بالموسيقى وإعجاب الجماهير بالألحان,Dünyayı müzikle buluşturun,Gabungkan dunia dengan musik,,
,,,,Puzzle_collection_contentname1_subtitle1,从2015年到2017年，感谢您的一路相伴\r钢琴块2两周年生日快乐~,從2015年到2017年，感謝您的一路相伴\r鋼琴塊2兩週年生日快樂~,"Thank you for your support from 2015 to 2017\rHappy 2nd anniversary, Piano Tiles 2","2015-2017, gracias por tu acompañamiento. Feliz cumpleaños de 2 ani para Piano Tiles 2~","Спасибо, что вы с нами с 2015 по 2017 г.\rСо второй годовщиной Плиток фортепиано2!",Agradecemos pelo seu apoio durante 2015-2017\rFeliz 2º aniversário do Piano Tiles 2!,"Danke für Ihre Begleitung von 2015 bis 2017.\rAlles Gute zum Geburtstag, Piano Tiles 2!","2015부터 지금까지, 함께 해주셔서 감사합니다. 피아노 타일2 2주년 생일 축하합니다~",二年間ありがとうございます\rハッピーバースデーピアノタイル２！,"Merci pour votre support de 2015 à 2017\rJoyeux 2e anniversaire, Piano Tiles 2",Grazie per la sua compagnia dal 2015 al 2017\rBuon 2° anniversario a Piano Tiles2~,شكرا على دعمكم من عام 2015 إلى 2017\rالذكرى السنوية الثانية لبيانو تايلز 2,Eşliğiniz için candan teşekkür ederiz!\rPiano Tiles 2 2. Yıldönümü kutlu olsun!,Terima kasih atas dukungan Kalian\rSelamat Ulang Tahun Piano Tiles 2 Ke-2,,
,,,,Puzzle_collection_contentname1_subtitle2,钢琴块2两周年生日快乐~,鋼琴塊2兩週年生日快樂~,"Happy 2nd anniversary, Piano Tiles 2",Feliz cumpleaños de 2 ani para Piano Tiles 2~,Со второй годовщиной Плиток фортепиано2!,Feliz 2º aniversário do Piano Tiles 2!,"Alles Gute zum Geburtstag, Piano Tiles 2!",피아노 타일2 2주년 생일 축하합니다~,ハッピーバースデーピアノタイル２！,"Joyeux 2e anniversaire, Piano Tiles 2",Buon 2° anniversario a Piano Tiles2~,الذكرى السنوية الثانية لبيانو تايلز 2,Piano Tiles 2 2. Yıldönümü kutlu olsun!,Selamat Ulang Tahun Piano Tiles 2 Ke-2,,
,,,,Puzzle_collection_authorname5_subtitle1,弗朗兹·李斯特，伟大的浪漫主义大师，\r浪漫主义前期最杰出的代表人物之一。,弗朗茲·李斯特，偉大的浪漫主義大師，\r浪漫主義前期最傑出的代表人物之一。,Franz Liszt. great romantic master\rOne of the representatives of romanticism,Franz Liszt.uno de los representantes\rmás destacados del romanticismo.,Великий мастер романтизма. Выдающийся представитель раннего романтизма,É um dos representantes mais\rnotáveis do pré-período romântico.,Franz Liszt. einer der prominentesten und\reinflussreichsten Klaviervirtuosen des 19.Jahrhunderts.,프란츠 리스트. 위대한 낭만주의 거장.\r낭만주의 전기 대표적인 인물 중 한명이다.,フランツ・リスト、ロマン派作曲家の代表の一人。多くはドイツロマン派の中に最も傑出な一人,Franz Liszt. grand maître du romanticisme.\rUn des représentants de l'époque pré-romantique.,Franz Liszt. Uno dei rappresentanti\rpiù importanti del romanticismo.,فرانز ليست، موسيقي رومانسي مشهور\rأبرز الممثلين في بداية الفترة الرومانسية,Ustün bir romantik ustadır.Erken romantizm\rdöneminin en seçkin temsilcilerinden biri.,Franz Liszt.master romantis yg termulia\rSalah satu wakil musisi selama periode romantis,,
,,,,Puzzle_collection_authorname5_subtitle2,浪漫主义前期最杰出的代表人物之一。,浪漫主義前期最傑出的代表人物之一。,One of the representatives of romanticism,más destacados del romanticismo.,представитель раннего романтизма,notáveis do pré-período romântico.,einflussreichsten Klaviervirtuosen des 19.Jahrhunderts.,낭만주의 전기 대표적인 인물 중 한명이다.,多くはドイツロマン派の中に最も傑出な一人,Un des représentants de l'époque pré-romantique.,più importanti del romanticismo.,أبرز الممثلين في بداية الفترة الرومانسية,döneminin en seçkin temsilcilerinden biri.,Salah satu wakil musisi selama periode romantis,,
,,,,Puzzle_collection_authorname6_subtitle1,柴可夫斯基，19世纪伟大的俄罗斯音乐家，\r被誉为伟大的俄罗斯音乐大师。,柴可夫斯基，19世紀偉大的俄羅斯音樂家，\r被譽為偉大的俄羅斯音樂大師。,Tchaikovsky. great Russian musician of 19th century. Known as the great Russian music master.,Tchaikovsky. gran músico ruso del siglo XIX. Conocido como el gran maestro de música rusa.,Чайковский. Был назван великим\rрусским музыкальным мастером.,É conhecido como o excelente mestre\respecializado em músicas russas.,In Russland gilt er als bedeutendster\rKomponist des 19. Jahrhunderts.,차이콥스키. 19세기 위대한 러시아 음악가.\r러시아 음악의 거장이라고 칭한다.,コルネイ・チュコフスキー、\r19世紀最も有名な音楽家の一人,Tchaikovski. grand musicien russe du 19e siècle. Il a été nommé Maître musical russe.,Tchaikovsky. grande musicista russo del XIX secolo. è conosciuto come il grande musicista russo.,تشايكوفسكي، موسيقي روسي عظيم في القرن ال19\rيسمى بموسيقي روسي عظيم,Çaykovski. 19. yüzyılın büyük Rus müzisyenidir. En önemli bir Rus müzik ustası olarak bilinir.,Musisi Rusia yang termulia selama abad ke-19. Dikenal sebagai master musik Rusia yg termulia.,,
